Year,Ghana_GDP_Growth_pct,Ghana_Inflation_CPI_pct,ExchangeRate_GHS_per_USD,GDP_per_Capita_USD,Energy_Use_kg_oil_eq_per_capita,Net_Energy_Imports_pct_energy_use,Current_Account_Balance_pct_GDP,Govt_Revenue_excl_grants_pct_GDP,Population_millions,Crude_Oil_Price_USD_per_barrel,Ghana_Pump_Fuel_Price_GHS_per_litre,Ghana_Pump_Fuel_Price_USD_per_litre
1990,3.33,37.26,0.033,382.54,343.74,18.25,-3.79,12.47,15.39,21.68,0.0001,0.0030
1991,5.28,18.03,0.037,418.25,346.84,16.3,-3.82,14.6,15.79,20.39,0.0002,0.0054
1992,3.88,10.06,0.044,396.43,350.41,16.24,-5.88,11.9,16.18,19.58,0.0003,0.0068
1993,4.85,24.96,0.065,359.8,358.21,15.29,-9.36,16.98,16.59,17.45,0.0005,0.0077
1994,3.3,24.87,0.096,320.5,363.88,18.54,-4.67,,16.99,18.44,0.0008,0.0083
1995,4.11,59.46,0.12,371.54,371.98,17.82,-2.22,,17.4,18.51,0.0015,0.0125
1996,4.6,46.56,0.164,389.27,375.52,20.03,-4.43,,17.81,20.6,0.0025,0.0152
1997,4.2,27.89,0.205,377.84,383.78,21.72,-5.85,,18.24,21.14,0.0035,0.0171
1998,4.7,14.62,0.231,400.37,395.75,28.05,-6.97,,18.69,14.6,0.0045,0.0195
1999,4.4,4.87,0.267,403.04,401.34,28.59,-12.49,,19.15,19.69,0.005,0.0187
2000,3.7,40.24,0.545,253.75,322.13,31.97,-7.75,,19.64,29.73,0.012,0.0220
2001,4,41.51,0.716,263.54,313.17,34.21,-8.04,18.11,20.17,25.25,0.022,0.0307
2002,4.5,9.36,0.792,297.46,303.75,38.86,-1.71,18.01,20.73,26.59,0.028,0.0354
2003,5.2,29.77,0.867,358.4,281.22,39.73,1.33,19.77,21.3,30.9,0.055,0.0634
2004,5.6,18.04,0.899,406.13,270.19,38.74,-6.65,23.71,21.87,41.58,0.075,0.0834
2005,5.9,15.44,0.905,478.61,261.89,40.32,-10.28,23.69,22.45,57.25,0.085,0.0939
2006,6.4,11.68,0.915,906.44,275.07,45.64,-5.06,13.3,23.04,66.92,0.095,0.1038
2007,4.35,10.73,0.933,1050.12,264.07,48.12,-9.58,15.67,23.64,74.89,0.98,1.0504
2008,9.15,16.49,1.052,1182.66,275.17,47.47,-11.6,15.69,24.25,98.69,1.2,1.1407
2009,4.84,19.25,1.405,1047.7,274.02,47.86,-7.28,15.42,24.86,63.78,1.35,0.9609
2010,7.9,10.73,1.43,1263.89,296.1,49.27,-8.53,16.69,25.47,79.95,1.5,1.0490
2011,14.05,8.73,1.521,1507.44,303.49,7.61,-9,19.37,26.1,96.79,1.9,1.2492
2012,9.29,11.19,1.825,1543.78,329.33,7.75,-11.9,19.34,26.73,94.03,2.1,1.1507
2013,7.31,11.67,1.981,2294.8,323.67,-6.85,-9.08,14.23,27.39,97.57,2.35,1.1863
2014,2.86,15.49,2.897,1949.91,321.35,-7.69,-6.76,14.22,28.04,91.56,2.98,1.0287
2015,2.12,17.15,3.715,1722.77,329.31,-6.41,-5.71,14.53,28.7,49.19,3.5,0.9421
2016,3.37,17.45,3.91,1912.48,327.9,5.71,-5.04,14.16,29.36,44.22,3.8,0.9719
2017,8.13,12.37,4.351,2012.29,321.69,-37.03,-3.32,14.52,30.01,51.86,4.3,0.9883
2018,6.2,7.81,4.585,2195.32,350.47,-33.65,-3.04,15.07,30.64,64.58,4.95,1.0796
2019,6.51,7.14,5.217,2186.66,354.25,-43.17,-2.73,14.69,31.26,57.31,5.2,0.9967
2020,0.51,9.89,5.596,2195.45,367.16,-35.65,-3.05,13.75,31.89,38.58,4.9,0.8756
2021,5.08,9.97,5.806,2445.19,361.94,-25.73,-2.82,14.93,32.52,68.23,5.5,0.9473
2022,3.8,31.26,8.272,2229.89,359.18,-22.37,-2.33,15.55,33.15,94.25,9.8,1.1847
2023,3.14,38.11,11.02,2383.9,,,-0.91,,33.79,77.7,13.5,1.2250
2024,5.59,22.85,14.182,2390.77,,,2.04,,34.43,75.82,14,0.9872
2025,,,,,,,,,,64.27,15,1.0345
2026,,,,,,,,,,67.53,16,1.0000
